id,speakers,isoda,tokens,tags
1661,UGV-1,Informieren,Teamleader-Funk ist ausgefallen,2
1662,MC,Auto-postiv,okay,2
1663,TL,Anruf akzeptieren,so der Team- der Teamleader hört wieder,2
1664,TL,Rufen,der Team- der Teamleader,6
1665,TL,Informieren,Funk funktioniert wieder,2
1666,UGV-2,Rufen,Teamleader für UGV2 kommen,4
1667,TL,Anruf akzeptieren,Teamleader hört,5
1668,UGV-2,Informieren,wir haben den grünen Container identifiziert haben auch ein Foto gemacht und es - es müsste in der Datenbank liegen,2
1669,UGV-2,Informieren,es scheint - handelt sich um eine gift- giftige entzündliche - hochentzündliche Flüssigkeit,2
1670,UGV-2,Bestätigen,es scheint - handelt sich,6
1671,UGV-2,Antwort,eine gift- giftige,6
1672,UGV-2,Ablehnen,entzündliche - hochentzündliche,2
1673,UGV-1,Rufen,UGV2 von 1,4
1674,UGV-2,Rufen,UGV1 kommen,5
1675,UGV-1,Informieren,davor ist noch ein gelber Kanister brennbares Material den hab ich auch mit fotografiert,2
1676,UGV-2,Antwort,super den habe ich noch nicht gesehen,2
1677,UGV-2,Task akzeptieren,danke schön,6
1678,MC,Rufen,Teamleader von Mission Commander kommen,4
1679,MC,Rufen,Teamleader von Mission Commander kommen,4
1680,TL,Anruf akzeptieren,Teamleader hört,5
1681,MC,Frage,wie ist der Stand der Rettung der Verletzten?,3
1682,TL,Anfordern,ein Trupp arbeitet sich vor der Flug-Roboter fliegt vor die Position des Verletzten z- zwecks besseres Auffinden,2
1683,TL,Rufen,z- zwecks,6
1684,MC,Auto-postiv,ja verstanden,2
1685,UGV-1,Rufen,Teamleader von UGV1 kommen,4
1686,TL,Anruf akzeptieren,Teamleader hört,5
1687,UGV-1,Informieren,ja ich bin an der Grenze zur Datenübertragung habe ich so den Eindruck,2
1688,UGV-1,Anbieten,da geht alles etwas langsamer aber ich versuch' mal hier die Gegend noch weiter abzusuchen,2
1689,TL,Auto-postiv,ja,7
1690,UGV-2,Rufen,Teamleader für UGV2 kommen,4
1691,UGV-2,Rufen,Teamleader für UGV2 kommen,4
1692,TL,Anruf akzeptieren,Teamleader hört,5
1693,UGV-2,Informieren,wir haben noch eine weitere Flasche gefunden mit 'ner Chemikalie,2
1694,UGV-2,Informieren,wir haben ein Foto gemacht,2
1695,UGV-2,Task akzeptieren,das schicke ich jetzt rüber,2
1696,TL,Auto-postiv,ja verstanden,2
1697,MC,Rufen,Teamleader für Mission Commander kommen,4
1698,TL,Anruf akzeptieren,Teamleader hört,5
1699,MC,Informieren,aus dem Foto sehe ich jetzt drei Behältnisse,2
1700,MC,Informieren,haben wir das grüne Fass dann einen roten Kanister und das untere ist ein blauer umgestürtzter Eimer oder was?,3
1701,MC,Frage,gibt's da nähere Erkenntnisse drüber?,3
1702,TL,Bestätigen,ja die Erkenntnisse was auf dem Foto zu erkennen ist,2
1703,TL,Anfordern,brennbarer mit Wasser gefährlicher gährender Stoff alles Weitere müsst ihr von der Einsatzseite eruieren,2
1704,MC,Bestätigen,ja die Bilder sind nicht so ganz scharf,2
1705,MC,Situationsfrage,kann er noch vielleicht mal eine bessere Auflösung schicken?,1
1706,TL,Anruf akzeptieren,ich kümmere mich drum,7
1707,TL,Rufen,UGV 2 von Teamleader,4
1708,UGV-2,Rufen,UGV 2 kommen,5
1709,TL,Task akzeptieren,ja UGV 2 wir brauchen nochmal schärfere Bilder von dem Fass und der Kennzeichnung,1
1710,UGV-2,Auto-postiv,ich habe Sie nicht gut verstanden können Sie wiederholen?,3
1711,TL,Informieren,ja von dem Fass brauchen wir nochmal bessere Bilder und auch von der Kennzeichnung,1
1712,UGV-2,Task akzeptieren,ja ich versuche nochmal zu dem Fass zu fahren,7
1713,UGV-2,Informieren,es ist sehr verraucht mittlerweile,2
1714,UGV-2,Anbieten,aber ich versuche bessere Bilder aufzunehmen,2
1715,UGV-1,Informieren,der UGV 1 ist auch in der Nähe ich kann auch nochmal gucken,2
1716,UGV-2,Rufen,Teamleader vo- für UGV 2 kommen,4
1717,UGV-2,Rufen,vo- für,6
1718,MC,Rufen,Teamleader für Mission Commander,4
1719,TL,Anruf akzeptieren,Teamleader hört,5
1720,MC,Informieren,nach den Fotos müsste die verletzte Person am linken Hochofen liegen und die UGV 2 müsste da dran vorbei gefahren sein,2
1721,MC,Informieren,und zwar zwischen der Halle hier wo wir sind und dem Hochofen,2
1722,MC,Informieren,da müsste die Person liegen,2
1723,UAV,Rufen,der Einsatleiter vom Operator UAV kommen,4
1724,TL,Anruf akzeptieren,ich hör' dich,5
1725,UAV,Informieren,also derzeit sind wir nicht startbereit mit der UAV,2
1726,UAV,Informieren,weil es noch zu sehr regnet,2
1727,TL,Auto-postiv,hab verstanden,2
1728,TL,Situationsfrage,UGV 1 UGV 2 seid ihr startklar?,3
1729,UGV-1,Anruf akzeptieren,ja ich rolle bereits,7
1730,UGV-2,Bestätigen,ja ich rolle auch schon,7
1731,TL,Auto-postiv,verstanden,2
1732,TL,Situationsfrage,UGV 1 hast du schon ein Bild gemacht?,3
1733,UGV-1,Ablehnen,ist negativ noch nicht,0
1734,TL,Anfordern,dann bitte mal eins gerade vorweg,1
1735,UGV-2,Rufen,Teamleader von UGV 2,4
1736,TL,Anruf akzeptieren,hör' dich,5
1737,UGV-2,Informieren,ja ich hab ein grünes Fass ausgemacht und Rauch,2
1738,UGV-2,Informieren,hab dir ein Bild gemacht und geteilt,2
1739,TL,Auto-postiv,verstanden,2
1740,UGV-1,Rufen,Teamleader von UGV 1,4
1741,UGV-1,Informieren,starke Rauchentwicklung vor mir,2
1742,UGV-1,Anbieten,ich mach ein Foto und schick's dir,2
1743,TL,Auto-postiv,Teamleader verstanden,2
1744,UGV-2,Rufen,Teamleader von UGV 2,4
1745,UGV-2,Informieren,im ersten Obergeschoss ein grünes Fass und starke Rauchentwicklung,2
1746,TL,Auto-postiv,ja verstanden,2
1747,TL,Situationsfrage,Bild hast du verschickt?,3
1748,UGV-2,Bestätigen,korrekt,7
1749,UGV-1,Rufen,Teamleader von UGV 1,4
1750,UGV-1,Anbieten,ich verlasse das Erdgeschoss und gehe ins erste Obergeschoss,2
1751,TL,Auto-postiv,Teamleader verstanden,2
1752,TL,Rufen,UGV 2 von Teamleader,4
1753,UGV-2,Anruf akzeptieren,hört,5
1754,TL,Situationsfrage,hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist?,3
1755,UGV-2,Pausieren,ja warten,7
1756,UGV-1,Rufen,Teamleader von UGV 1,4
1757,UGV-1,Informieren,ich habe die Nebelmaschine gefunden,2
1758,TL,Auto-postiv,ja verstanden,2
1759,TL,Anfordern,mach mal ein Foto,1
1760,TL,Rufen,UGV 2 von Teamleader kommen,4
1761,UGV-2,Anruf akzeptieren,hört,5
1762,TL,Frage,Frage gerade: aktueller Standort?,3
1763,UGV-2,Informieren,im ersten Obergeschoss vor einem Hochofen rechtsseitig ein grünes Fass und Rauchentwicklung,2
1764,UGV-1,Rufen,Teamleader UGV 1,4
1765,TL,Anruf akzeptieren,Teamleader hört,5
1766,UGV-1,Informieren,ja ich hab 'n blaues Fass gefunden mit Aufschrift,2
1767,UGV-1,Informieren,hab dir ein Foto geschickt und werde mich dem jetzt nähern,2
1768,TL,Rufen,UGV 1 von Teamleader,4
1769,TL,Rufen,UGV 1 von Teamleader kommen,4
1770,UGV-1,Anruf akzeptieren,ich höre,5
1771,TL,Situationsfrage,kommst du näher an das blaue Fass dass wir eine Erkennung haben?,3
1772,UGV-1,Bestätigen,ja ich fahr' gerade näher,7
1773,UGV-1,Rufen,Teamleader von UGV 1,4
1774,TL,Anruf akzeptieren,UGV 1?,5
1775,UGV-1,Informieren,ja es handelt sich um einen blauen Kanister der aufrecht steht verschlossen ist mit dem Inhalt Otalin,2
1776,UGV-1,Informieren,ich hab ein Foto gemacht und schick's dir,2
1777,TL,Auto-postiv,verstanden,2
1778,UGV-1,Informieren,von außen keine Gefahrensymbole von der Vorderseite,2
1779,UGV-1,Anbieten,ich werde jetzt noch die rechte Seite erkunden,2
1780,TL,Anfordern,zu allen Roboter mal kurz Stop,1
1781,TL,Rufen,UAV für Einsatzleiter,4
1782,UGV-1,Situationsfrage,können wir weitermachen?,3
1783,TL,Pausieren,warten,0
1784,TL,Rufen,UAV für Teamleader,4
1785,UAV,Anruf akzeptieren,UAV hört,5
1786,TL,Frage,Frage: Einsatzbereitschaft?,3
1787,UAV,Ablehnen,negativ,0
1788,TL,Anfordern,melden wenn Einsatzbereitschaft gegeben,1
1789,UAV,Auto-postiv,verstanden,2
1790,UGV-1,Rufen,Teamleader von UGV 1,4
1791,TL,Anruf akzeptieren,Teamleader hört,5
1792,UGV-1,Situationsfrage,ja Frage: kommen meine Fotos an?,3
1793,TL,Pausieren,warten,6
1794,UGV-1,Informieren,müsste ein blauer Kanister sein,2
1795,UGV-1,Informieren,ich habe weiterhin eine grüne Tonne mit einer drauf befindlichen Flasche gefunden,2
1796,UGV-2,Informieren,auf dem Weg zu der Tonne mit der Flasche obendrauf da befinde ich mich gerade,2
1797,UGV-1,Auto-postiv,ja okay dann müsste ich dich ja sehen,2
1798,UGV-1,Situationsfrage,der steht ja vor die Nebelmaschine?,3
1799,UGV-2,Anruf akzeptieren,ne ich bin vor diesem Hochofen der mehrere Bullaugen hat,2
1800,UGV-2,Task akzeptieren,sag ich mal ne,0
1801,UGV-2,Informieren,und da bin ich auf einer Seite vom Geländer,2
1802,UGV-2,Informieren,ich umfahre jetzt diese Bullaugen und müsste dann direkt vor dem Fass stehen,2
1803,UGV-1,Ablehnen,ja das ist negativ,0
1804,UGV-1,Anruf akzeptieren,ich stehe vor dem Fass,2
1805,UGV-1,Rufen,so kannst du auf deiner Seite bleiben,2
1806,UGV-2,Anfordern,na ja gut dann mach du ein Foto von dem Fass,7
1807,UGV-2,Anbieten,und ich drehe um und erkunde die andere Seite,2
1808,TL,Rufen,UGV 1 von Teamleader kommen,4
1809,UGV-1,Anruf akzeptieren,kommen Sie,5
1810,TL,Situationsfrage,Frage: hast du ein Foto von dem grünen Fass gemacht?,3
1811,UGV-1,Bestätigen,ja ist korrekt,7
1812,UGV-1,Informieren,grüne Fass mit Flasche drauf,2
1813,UGV-1,Anbieten,werde aber jetzt auch mal die rückwärtige Seite des Fasses erkunden,2
1814,TL,Pausieren,UGV 1 damit warten,1
1815,UGV-1,Informieren,also ich stehe jetzt genau vor dem Fass,2
1816,UGV-1,Anbieten,ich werde nochmal ein Foto machen und dir schicken,2
1817,UGV-2,Situationsfrage,können wir weiterfahren oder warten wir noch?,3
1818,TL,Bestätigen,ja können weiter fahren,2
1819,TL,Pausieren,UGV 1 aber warten,1
1820,UGV-1,Auto-postiv,ja das verstanden,7
1821,UGV-1,Informieren,weitere Foto von grünen Fass mit grüner Flasche drauf wurde dir entsandt,2
1822,UGV-2,Task akzeptieren,ja UGV 2 ich dreh dann um und erkunde die andere Gebäudeseite,2
1823,TL,Auto-postiv,Teamleiter verstanden,2
1824,TL,Rufen,UGV 1 von Teamleader,4
1825,UGV-1,Anruf akzeptieren,kommen,5
1826,TL,Informieren,ja jetzt haben wir die Erkundung der rückwärtigen Seite in nördlicher Bereich,2
1827,UGV-1,Frage,welche rückwärtige Seite vom Fass?,3
1828,UGV-2,Rufen,Teamleader von UGV 2,4
1829,TL,Anruf akzeptieren,UGV 2 hört,5
1830,UGV-2,Informieren,ja von meiner jetztigen Position aus ist quasi aus der Halle raus kein Rauch und keine Gefahren zu erkennen,2
1831,UGV-2,Frage,Frage anderer Auftrag?,3
1832,TL,Anfordern,mach mal ein Foto zur Orientierung für mich,2
1833,UGV-2,Informieren,hab ich schon,2
1834,UGV-2,Rufen,Teamleader von UGV 2,4
1835,TL,Pausieren,UGV warten,6
1836,UGV-2,Rufen,Teamleader von UGV 2,4
1837,TL,Pausieren,warten,6
1838,TL,Rufen,UGV 2 von Teamleader kommen,4
1839,UGV-2,Anruf akzeptieren,UGV 2 hört,5
1840,UGV-1,Rufen,Teamleader von UGV 1,4
1841,TL,Anruf akzeptieren,Teamleader hört,5
1842,UGV-1,Informieren,ja ich hab dir jetzt erneut das Foto geschickt,2
1843,UGV-1,Informieren,ich konnte beide Rauchquellen identifizieren beides Nebelmaschinen,2
1844,UGV-1,Informieren,hab dir jetzt ein Übersichtsfoto geschickt von einmal den blauen Kanister und dem grünen Fass mit der grünen Flasche drauf,2
1845,TL,Auto-postiv,das ist verstanden,2
1846,UGV-1,Task akzeptieren,jetzt die Frage ob ich mich weiter fortbewegen soll,3
1847,UGV-1,Anbieten,ich kann das Fass noch einmal umkreisen und gucken ob es eine Beschriftung drauf ist,2
1848,TL,Ablehnen,negativ,0
1849,TL,Rufen,UGV 1 UGV 2,4
1850,TL,Situationsfrage,gab es Möglichkeiten eine Etage weiter nach oben zu kommen?,3
1851,UGV-2,Auto-postiv,ja UGV 2,7
1852,UGV-2,Informieren,ich hab hier einen Treppenraum,2
1853,TL,Situationsfrage,nach oben?,3
1854,UGV-2,Bestätigen,das ist korrekt,7
1855,TL,Situationsfrage,Möglichkeiten mit dem Bodenroboter da hochzufahren?,3
1856,UGV-2,Task akzeptieren,ja ich kann das mal probieren,7
1857,TL,Anfordern,dann Erkundung zweiter Obergeschoss,1
1858,UGV-1,Rufen,Teamleader von UGV 1,4
1859,UGV-1,Anbieten,ich muss mich erst mal orientiere und gucken ob ich irgendwo hochkomme,2
1860,UGV-1,Bestätigen,zur Zeit hier bei den Fässern kann ich nicht hoch,2
1861,TL,Auto-postiv,verstanden,2
1862,UGV-1,Rufen,UGV 1 Teamleader von UGV 1,4
1863,TL,Anruf akzeptieren,UGV 1 höre,5
1864,TL,Anruf akzeptieren,kommen,5
1865,UGV-1,Informieren,ja ich hab jetzt das Fass einmal umkreist kann auf dem Fass zwei Gefahrensymbole identifizieren einmal rot mit Flamme brennbar und einmal umweltgefährdend,2
1866,UGV-1,Anbieten,werde davon ein Foto machen und dir zusanden,2
1867,UGV-1,Informieren,und eine UN-Nummer kann ich erkennen,2
1868,TL,Auto-postiv,verstanden,2
1869,UGV-1,Informieren,es handelt sich um die UN-Nummer 12 03 moment,2
1870,UGV-1,Rufen,Teamleader von UGV 1,4
1871,UGV-1,Informieren,Fotos sind raus,2
1872,UGV-1,Informieren,ich kann nur bestätigen UN-Nummer 12 03 Gefahrenzettel leicht entflammbar und umweltgefährdend,2
1873,TL,Auto-postiv,verstanden,2
1874,UGV-1,Informieren,noch als Zusatz dieses Fass scheint nicht auszulaufen,2
1875,UGV-1,Informieren,steht aufrecht und ist keinerlei Flüssigkeitsaustritt zu erkennen,2
1876,TL,Auto-postiv,verstanden,2
1877,UGV-1,Anbieten,ich werde jetzt versuchen ins Obergeschoss zu kommen,2
1878,TL,Task akzeptieren,wiederholen,1
1879,UGV-1,Anbieten,ich werde jetzt auch einen Weg suchen ins Obergeschoss zu kommen,2
1880,TL,Auto-postiv,ja ist verstanden,2
1881,TL,Rufen,UGV 2 von Teamleader,4
1882,UGV-2,Anruf akzeptieren,UGV 2 hört,5
1883,TL,Situationsfrage,viel Erfolg mit dem Treppenbesteigen?,3
1884,UGV-2,Ablehnen,ja negativ,0
1885,UGV-2,Informieren,ich hab hier gerade Probleme mit mir selbst,2
1886,UGV-1,Rufen,ja hier ist der UGV 1 von Teamleader,4
1887,TL,Anruf akzeptieren,hör dich,5
1888,UGV-1,Informieren,ja ich hab ein weiteres grünes Fass gefunden beim Erkunden der Treppe gefunden in der Nähe von dem anderen aufrecht stehenden Fass festzustellen,2
1889,UGV-1,Anbieten,werde dies jetzt fotografieren und einmal um-kreisen um eine Leckage,2
1890,TL,Auto-postiv,ja ist verstanden,2
1891,TL,Anfordern,kannst du einmal ein Foto von dem Fass machen in Richtung der Treppe dass man einen Orientierungspunkt hat?,1
1892,UGV-1,Task akzeptieren,ja das kann ich versuchen,7
1893,UGV-1,Informieren,ich kann höchstens so fotografieren dass ich halt den Hochofen drauf hab',2
1894,TL,Auto-postiv,ja verstanden,2
1895,UGV-1,Informieren,ja wir können die Orientierung nehmen von dem ersten Fass von dem ersten Fass geht's ja die Treppe hoch und da stand direkt das erste Fass und davon gesehen dann rechts,2
1896,TL,Bestätigen,ja machen wir so,7
1897,UGV-1,Informieren,also ich werde das nachher nachvollziehen können,2
1898,UGV-1,Rufen,Teamleader von UGV 1,4
1899,TL,Anruf akzeptieren,Teamleader hört,5
1900,TL,Informieren,ja das zweite Fass ist liegt auf dem Boden ist aber auch augenscheinlich verschlossen läuft nichts aus keine Flüssigkeit läuft aus,2
1901,TL,Auto-postiv,das ist verstanden,2
1902,UGV-1,Informieren,hab auch davon ein Foto gemacht und dir zugesandt,2
1903,UGV-1,Informieren,da siehst du im hinteren Bereich des des Fasses auch die Öffnung die Bullaugen des Hochofens also können wir uns daran orientieren,2
1904,TL,Task akzeptieren,wiederholen,1
1905,UGV-1,Informieren,wenn du das Foto von dem Fass siehst siehst du im hinteren Bereich hinter dem Fass die Bullaugen des Hochofens,2
1906,TL,Auto-postiv,verstanden,2
1907,UGV-1,Rufen,ja Teamleader von UGV 1,4
1908,TL,Anruf akzeptieren,UGV 1 kommen,5
1909,UGV-1,Situationsfrage,ja Frage: soll ich weiter erkunden? das Fass liegen lassen weiterfahren?,3
1910,TL,Rufen,UGV 1 UGV 2 kommen,4
1911,UGV-1,Anruf akzeptieren,UGV 1 hört,5
1912,UGV-2,Anruf akzeptieren,UGV 2 hört,5
1913,TL,Anfordern,Maßnahme momentan: warten wir machen hier gerade Übergabe,2
1914,UGV-1,Auto-postiv,okay,2
1915,UGV-2,Auto-postiv,hier UGV 2 verstanden,2
1916,TL,Anfordern,UGV 1 versuch noch in kochsweite ein bisschen nähere Ergebnisse zu kriegen,1
1917,UGV-2,Rufen,ja UGV 1 von UGV 2,4
1918,UGV-1,Anruf akzeptieren,kommen,5
1919,UGV-2,Informieren,ja ich hab hier technische Probleme,2
1920,UGV-2,Informieren,ich kann meine Flipper nicht bewegen und der Laser hat hinter sich,2
1921,UGV-1,Informieren,ich hab jetzt nochmal ein Foto gesendet wo man das auch seiteliegende Fass und den blauen Kanister so im rückwärtigen Bereich erkennen kann,2
1922,UGV-1,Anfordern,da musst du genau hingucken,1
1923,TL,Anfordern,kannst du mir weitere Details zu dem liegenden Fass geben? eine Nummer zum Beispiel?,3
1924,UGV-1,Ablehnen,ja das ist negativ,2
1925,UGV-1,Informieren,das Fass wurde einmal umkreist es liegt wahrscheinlich genau darauf,2
1926,UGV-1,Anbieten,ich kann mal versuchen mal es ein bisschen zu drehen,2
1927,TL,Auto-postiv,ja verstanden,7
1928,TL,Anfordern,aber sehr vorsichtig beim Vorgehen,7
1929,UGV-1,Auto-postiv,ja ist verstanden,2
1930,TL,Informieren,sieht man irgendwo eine Leckage in der Nähe des Fasses?,3
1931,UGV-1,Ablehnen,ja das ist negativ,0
1932,UGV-1,Informieren,keine Leckage aus dem Fass läuft nichts aus,2
1933,UGV-1,Informieren,beide Verschluss-Stopfen sind fest verschlossen,2
1934,TL,Informieren,beide Fässer sind noch nicht beschädigt,2
1935,UGV-1,Bestätigen,da das ist korrekt,2
1936,UGV-1,Informieren,nur auf dem einen stehenden grünen Fass steht noch eine grüne Flasche,2
1937,TL,Frage,was kann in der grünen Flasche drin sein?,3
1938,UGV-1,Antwort,es sieht aus wie Gerolsteiner,2
1939,TL,Frage,weitere Erkenntnisse um das Fass herum an Leckagen?,3
1940,TL,Bestätigen,da es ja eine Explosion gewesen ist,2
1941,TL,Check Frage,kann man da irgendwo was sehen? sehen wo es ein drittes Fass im Umlauf liegen könnte,3
1942,UGV-1,Antwort,also im Moment kann ich dazu nichts sagen,2
1943,UGV-1,Informieren,um diesen beiden Fässern und dem Kanister ist kein Anschein von irgend einer Leckageaber erneut nochmal versuchen muss,2
1944,UGV-1,Versprechen,ich versuche jetzt noch von dem liegenden Fass die UN-Nummer rauszu'kommen was ich bereits schon gedreht hab was ich,2
1945,TL,Auto-postiv,ja verstanden,2
1946,UGV-2,Rufen,ja Teamleader von UGV 2,4
1947,TL,Anruf akzeptieren,hört,5
1948,UGV-2,Bestätigen,ja ich versuche eigentlich ins zweite Obergeschoss zu kommen,2
1949,UGV-2,Informieren,aber ich hab hier erhebliche Probleme mit der Technik mein Roboter ist Made in Taiwan,2
1950,TL,Situationsfrage,kann man es denn manuell nicht beheben?,3
1951,UGV-2,Bestätigen,ich glaube nicht,0
1952,TL,Anruf akzeptieren,UGV 1,4
1953,UGV-1,Anruf akzeptieren,ja jetzt nicht,6
1954,UGV-1,Pausieren,Moment mal bitte,6
1955,UGV-1,Rufen,ja hier ist der UGV 1 von Teamleader,5
1956,UGV-1,Informieren,ich hab das Fass jetzt hier drehen können und festgestellt dass es sich um dasselbe Piktogramm beziehungsweise den selben Piktogramme handelt wie bei dem ersten Fass,2
1957,UGV-1,Informieren,weiterhin das Fass nicht beschädigt,2
1958,TL,Situationsfrage,kann man die Temperatur von dem Fass messen?,3
1959,UGV-1,Ablehnen,negativ,0
1960,TL,Sonstiges,ich will wissen ob die das Fass noch durch die Explosion ein Wärmebaustein ist,3
1961,UGV-1,Informieren,ich sehe ein Fass was einfach nur umgekippt ist keine Leckage,2
1962,UGV-1,Anbieten,ich wollte jetzt mit dem UGV 1 nach oben ins Obergeschoss versuchen,2
1963,UGV-1,Informieren,weil da wollte der Tim hin und konnte nicht weiter erkunden wenn das okay ist,2
1964,UGV-1,Auto-postiv,wenn das okay ist,2
1965,TL,Task akzeptieren,ja versuch das mal,7
1966,UGV-1,Rufen,UGV 2 von UGV 1,4
1967,UGV-2,Anruf akzeptieren,hört,5
1968,UAV,Rufen,Teamleader von der UAV kommen,4
1969,TL,Anruf akzeptieren,Teamleader hört,5
1970,UAV,Bestätigen,also aufgrund der Wetterlage,2
1971,UAV,Informieren,wäre jetzt ein Inspektionsflug möglich,2
1972,TL,Anbieten,ja dann werden wir jetzt fliegen und versuchen Bilder vor der Unfallstelle aufzunehmen,7
1973,UAV,Frage,welcher Gebäudeteil soll umflogen werden?,3
1974,TL,Informieren,der mittlere Gebäudeteil,2
1975,UAV,Auto-postiv,das ist verstanden,2
1976,UAV,Anbieten,wir müssen jedoch nochmal wieder warten,2
1977,UAV,Informieren,weil noch eine Schauerwolke durchläuft,2
1978,TL,Auto-postiv,ja verstanden,2
1979,UAV,Anbieten,wir gehen automatisch in die Operation sobald der Regen nachlässt,2
1980,TL,Rufen,Gruppe Drohne von Teamleader kommen,4
1981,UAV,Anruf akzeptieren,die UAV hört,5
1982,TL,Situationsfrage,wie sieht's aus könnt ihr fliegen?,3
1983,UAV,Ablehnen,noch negativ,0
1984,UAV,Informieren,im Moment ist wieder zu viel Regen,2
1985,TL,Auto-postiv,ja verstanden,2
1986,TL,Rufen,UGV 1 von Teamleader kommen,4
1987,UGV-1,Anruf akzeptieren,kommen Sie,5
1988,TL,Situationsfrage,UGV 2 erreicht?,3
1989,UGV-1,Ablehnen,ja ist negativ,0
1990,UGV-1,Informieren,ich bin einmal jetzt um das Gebäude rum Tim war dat 'ne schräge Treppe,2
1991,UGV-2,Informieren,ja wie so 'ne Stahltreppe halt aussieht ne biegt erst mal einer nach oben weiter konnte ich nicht sehen,2
1992,UGV-2,Informieren,weil meine Kamera nicht höher ge-,2
1993,UGV-1,Informieren,ja weil ich stehe vor einer da liegt auch ein Trümmerteil davor,2
1994,UGV-2,Informieren,es gab einmal eine Treppe da stand 'n Schild kein Durchgang,2
1995,UGV-2,Informieren,dann bin ich natürlich nicht hochgefahren,2
1996,UGV-2,Informieren,und dann war die andere Treppe war mit so 'nem weißen Geländer abgesperrt hier,2
1997,UGV-2,Informieren,in dem Bereich befinde ich mich,2
1998,UGV-1,Auto-postiv,ja hab ich verstanden ich guck nochmal,2
1999,TL,Rufen,UGV 1 von Teamleader,4
2000,UGV-1,Anruf akzeptieren,ich komm',5
2001,TL,Anfordern,könnt ihr was erkunden was da in lauter Rauch steht?,3
2002,UGV-1,Informieren,ja hab ich da müsstest ein Foto von hab'n,2
2003,TL,Versprechen,ich gucke,2
2004,TL,Anfordern,dann schick mir mal 'n Foto davon,1
2005,UGV-1,Rufen,Teamleader von UGV 1,4
2006,UGV-1,Informieren,ich hab 'nen weiteren Kanister gefunden weiß,2
2007,UGV-1,Anbieten,werde jetzt ein Foto davon machen und dir schicken,2
2008,UGV-1,Situationsfrage,Tim bist du so 'nen Gang entlang gefahren?,3
2009,UGV-2,Bestätigen,ja korrekt,7
2010,UGV-1,Rufen,Teamleader von UGV 1,4
2011,TL,Anruf akzeptieren,hört,5
2012,UGV-1,Informieren,ja der weiße Kanister steht aufrecht,2
2013,UGV-1,Informieren,scheint verschlossen zu sein ich werd ihn jetzt mal versuchen zu drehen um eventuell 'n Piktogramm darauf zu sehen,2
2014,TL,Auto-postiv,ja verstanden,2
2015,TL,Rufen,UGV 2 wie sieht's bei euch aus? UGV 2 von Teamleader kommen,4
2016,TL,Rufen,UGV 2 von Teamleader kommen,4
2017,UGV-2,Anruf akzeptieren,UGV 2 gerufen?,3
2018,TL,Bestätigen,ja richtig,7
2019,TL,Situationsfrage,wie sieht's bei euch aus geht gar nichts mehr oder seid ihr wieder im Spiel?,3
2020,TL,Rufen,UGV 2 von Teamleader kommen,4
2021,UGV-2,Anruf akzeptieren,UGV 2 gerufen?,3
2022,TL,Bestätigen,ja richtig,7
2023,UGV-2,Bestätigen,ja mein Roboter hier der hat jetzt ne Kette fast verloren,2
2024,TL,Informieren,also defekt,2
2025,TL,Rufen,UGV 1 von Teamleader kommen,4
2026,UGV-1,Informieren,ja mir ist jetzt gelungen das Gefäß zu bergen beziehungsweise zu drehen,2
2027,UGV-1,Anfordern,werd jetzt einmal ne Rundumschau von dem Gefäß machen,2
2028,UGV-1,Anbieten,ich schick' dir aber erst nochmal 'n Foto,2
2029,UGV-1,Informieren,beim wenden des Gefäßes ist ein leichter flüssiger Stoff ausgetreten,2
2030,UGV-1,Informieren,aber nur ein Spritzer,2
2031,UGV-1,Informieren,keine Gefahr,2
2032,UGV-1,Rufen,Teamleader von UGV 1,4
2033,TL,Anruf akzeptieren,Teamleader hört,5
2034,UGV-1,Informieren,ja der Kanister wurde jetzt von allen Seiten begutachtet Kanister ist verschlossen keine Gefahr und Piktogramme auf dem Kanister,2
2035,UGV-1,Anbieten,ich beweg' mich weiter fort,2
2036,TL,Auto-postiv,ja verstanden,2
2037,UGV-1,Rufen,Teamleader von UGV 1,4
2038,UGV-1,Anbieten,ich versuche jetzt zur UGV 2 zu kommen,2
2039,TL,Auto-postiv,ja verstanden,2
2040,TL,Frage,was ist mit der Drohne? Teamleader kommen,4
2041,UAV,Anruf akzeptieren,die UAV hört,5
2042,TL,Situationsfrage,ja UAV wie sieht's aus könnt ihr fliegen?,3
2043,UAV,Bestätigen,ne leider immer noch nicht,0
2044,UAV,Informieren,es regnet zu sehr,2
2045,TL,Auto-postiv,ja verstanden,2
2046,UAV,Rufen,Teamleader von UAV kommen,4
2047,UAV,Rufen,Teamleader von UAV kommen,4
2048,TL,Anruf akzeptieren,hört,5
2049,UAV,Informieren,wir sind mit der Drohne jetzt in der Luft und werden hinter das Gebäude fliegen,2
2050,TL,Auto-postiv,ja verstanden,2
2051,TL,Situationsfrage,UAV 1 habt ihr das Ziel erreicht?,3
2052,UGV-1,Informieren,also ich hab den UAV 2 getroffen kann da aber mich nicht weiter,2
2053,UGV-1,Informieren,aber ich seh' jetzt wieder 'ne Rauchentwicklung,2
2054,TL,Auto-postiv,ja verstanden,2
2055,TL,Rufen,UAV Drohne?,4
2056,UAV,Anruf akzeptieren,die Drohne hört,5
2057,UAV,Informieren,wir haben auch gerade mal zwei Bilder gemacht,2
2058,UAV,Informieren,die Rauchentwicklung kommt neben dem Hochofen zustande,2
