id,speakers,summary,tokens,tags
118,TL,TL : du hattest mir gerade das Bild geschickt ja? UGV-2 : ja da haben wir es gerade ein bisschen schwierig. UGV-2 : ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe.,ja ist bei mir angekommen,2
119,UGV-2,UGV-2 : wir haben massive Probleme mit der Steuerung. UGV-2 : ja da haben wir es gerade ein bisschen schwierig. UGV-2 : ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe.,Frage: sollen wir da jetzt reinfahren?,3
120,TL,UGV-2 : wir haben massive Probleme mit der Steuerung. UGV-2 : ja da haben wir es gerade ein bisschen schwierig. UGV-2 : ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe.,warte ich muss eben erst gucken,6
121,TL,UGV-2 : wir haben massive Probleme mit der Steuerung. UGV-2 : ja da haben wir es gerade ein bisschen schwierig. UGV-2 : ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe.,ja fahrt da mal rein,7
122,UGV-2,UGV-2 : ja da haben wir es gerade ein bisschen schwierig. UGV-2 : ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe. UGV-2 : Frage: sollen wir da jetzt reinfahren?,ja verstanden,2
123,UGV-2,UGV-2 : ich schick noch mal ein aktuelles Foto von dem Eingang vor dem ich jetzt stehe. UGV-2 : Frage: sollen wir da jetzt reinfahren?,das müsste irgendwo im westlichen Bereich sein,2
124,UAV,UGV-2 : Frage: sollen wir da jetzt reinfahren? UGV-2 : das müsste irgendwo im westlichen Bereich sein.,Einsatzleiter von UAV,4
125,TL,UGV-2 : Frage: sollen wir da jetzt reinfahren? UGV-2 : das müsste irgendwo im westlichen Bereich sein.,ich höre,5
126,UAV,UGV-2 : Frage: sollen wir da jetzt reinfahren? UGV-2 : das müsste irgendwo im westlichen Bereich sein.,ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt,2
127,UAV,UGV-2 : Frage: sollen wir da jetzt reinfahren? UGV-2 : das müsste irgendwo im westlichen Bereich sein. UAV : ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt.,ich kann keine Rauchentwicklung erkennen,2
128,TL,UGV-2 : Frage: sollen wir da jetzt reinfahren? UGV-2 : das müsste irgendwo im westlichen Bereich sein. UAV : ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt.,ja verstanden,2
129,UAV,UGV-2 : Frage: sollen wir da jetzt reinfahren? UGV-2 : das müsste irgendwo im westlichen Bereich sein. UAV : ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt.,Einsatzleiter von UAV,4
130,TL,UGV-2 : das müsste irgendwo im westlichen Bereich sein. UAV : ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt. UAV : ich kann keine Rauchentwicklung erkennen.,ich höre,5
131,UAV,UGV-2 : das müsste irgendwo im westlichen Bereich sein. UAV : ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt. UAV : ich kann keine Rauchentwicklung erkennen.,also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes,2
132,UAV,UGV-2 : das müsste irgendwo im westlichen Bereich sein. UAV : ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt. UAV : also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes.,ich schicke dir ein Bild,2
133,UGV-1,UGV-2 : das müsste irgendwo im westlichen Bereich sein. UAV : ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt. UAV : also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes.,Einsatzleiter von UAV 1,4
134,TL,UAV : ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt. UAV : ich kann keine Rauchentwicklung erkennen. UAV : also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes.,höre,5
135,UGV-1,UAV : ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt. UAV : ich kann keine Rauchentwicklung erkennen. UAV : also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes.,ich korrigiere - UGV 1,6
136,TL,UAV : ich hab dir ein Bild geschickt was den Hochofen aus nördlicher Richtung zeigt. UAV : ich kann keine Rauchentwicklung erkennen. UAV : also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes.,ja kommen Sie,5
137,UGV-1,UAV : ich kann keine Rauchentwicklung erkennen. UAV : also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes.,ja ich stehe jetzt am Fuß der Rampe,2
138,UGV-1,UAV : also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes. UGV-1 : ja ich stehe jetzt am Fuß der Rampe.,hab dir ein Bild geschickt,2
139,UGV-1,UAV : also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes. UGV-1 : ja ich stehe jetzt am Fuß der Rampe.,kannst du mal was gucken ob da was Interessantes ist,2
140,TL,UAV : also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes. UGV-1 : ja ich stehe jetzt am Fuß der Rampe. UGV-1 : kannst du mal was gucken ob da was Interessantes ist.,ja danke,7
141,UGV-1,UAV : also wir haben jetzt doch eine leichte Rauchentwicklung auf der nördlichen Seite des Gebäudes. UGV-1 : ja ich stehe jetzt am Fuß der Rampe. UGV-1 : kannst du mal was gucken ob da was Interessantes ist.,zur Info das ist der Blick in östlicher Richtung,2
142,TL,UGV-1 : ja ich stehe jetzt am Fuß der Rampe. UGV-1 : kannst du mal was gucken ob da was Interessantes ist. UGV-1 : zur Info das ist der Blick in östlicher Richtung.,UAV von Einsatzleiter,4
143,UAV,UGV-1 : ja ich stehe jetzt am Fuß der Rampe. UGV-1 : kannst du mal was gucken ob da was Interessantes ist. UGV-1 : zur Info das ist der Blick in östlicher Richtung.,ich hör' dich,5
144,TL,UGV-1 : ja ich stehe jetzt am Fuß der Rampe. UGV-1 : kannst du mal was gucken ob da was Interessantes ist. UGV-1 : zur Info das ist der Blick in östlicher Richtung.,wenn ich das richtig sehe kommt der Rauch am rechten Behälter Blickrichtung Süd raus,2
145,TL,UGV-1 : ja ich stehe jetzt am Fuß der Rampe. UGV-1 : kannst du mal was gucken ob da was Interessantes ist. UGV-1 : zur Info das ist der Blick in östlicher Richtung.,könnt ihr da auch was ausmachen in Form von Wärmestrahlung?,1
146,UAV,UGV-1 : ja ich stehe jetzt am Fuß der Rampe. UGV-1 : kannst du mal was gucken ob da was Interessantes ist. UGV-1 : zur Info das ist der Blick in östlicher Richtung.,ja wir schalten gerade um ich komme gleich wieder mit neuen Infos,7
147,TL,UGV-1 : ja ich stehe jetzt am Fuß der Rampe. UGV-1 : kannst du mal was gucken ob da was Interessantes ist. UGV-1 : zur Info das ist der Blick in östlicher Richtung.,UGV 2 von Einsatzleiter,4
148,UGV-2,UGV-1 : kannst du mal was gucken ob da was Interessantes ist. UGV-1 : zur Info das ist der Blick in östlicher Richtung. UAV : ja wir schalten gerade um ich komme gleich wieder mit neuen Infos.,UGV 2 hört,5
149,TL,UGV-1 : kannst du mal was gucken ob da was Interessantes ist. UGV-1 : zur Info das ist der Blick in östlicher Richtung. UAV : ja wir schalten gerade um ich komme gleich wieder mit neuen Infos.,schickst du mir noch mal ein aktuelles Foto euren Standortes?,1
150,UGV-2,UGV-1 : zur Info das ist der Blick in östlicher Richtung. TL : wenn ich das richtig sehe kommt der Rauch am rechten Behälter Blickrichtung Süd raus. TL : könnt ihr da auch was ausmachen in Form von Wärmestrahlung?,ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt,7
151,UAV,UGV-1 : zur Info das ist der Blick in östlicher Richtung. TL : schickst du mir noch mal ein aktuelles Foto euren Standortes? UGV-2 : ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt.,Einsatzleiter von UAV,4
152,TL,TL : wenn ich das richtig sehe kommt der Rauch am rechten Behälter Blickrichtung Süd raus. TL : schickst du mir noch mal ein aktuelles Foto euren Standortes? UGV-2 : ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt.,ich höre,5
153,UAV,TL : wenn ich das richtig sehe kommt der Rauch am rechten Behälter Blickrichtung Süd raus. TL : schickst du mir noch mal ein aktuelles Foto euren Standortes? UGV-2 : ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt.,ich hab dir ein Bild von der Wärmebild-Kamera geschickt,2
154,UAV,TL : wenn ich das richtig sehe kommt der Rauch am rechten Behälter Blickrichtung Süd raus. UAV : ja wir schalten gerade um ich komme gleich wieder mit neuen Infos. UAV : ich hab dir ein Bild von der Wärmebild-Kamera geschickt.,unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank,2
155,UAV,TL : könnt ihr da auch was ausmachen in Form von Wärmestrahlung? UGV-2 : ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt. UAV : unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank.,guckst du mal?,2
156,TL,UAV : ja wir schalten gerade um ich komme gleich wieder mit neuen Infos. UGV-2 : ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt. UAV : unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank.,ja mache ich,7
157,UGV-2,TL : schickst du mir noch mal ein aktuelles Foto euren Standortes? UGV-2 : ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt. UAV : unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank.,Einsatzleiter von UGV 2 kommen,4
158,TL,TL : schickst du mir noch mal ein aktuelles Foto euren Standortes? UGV-2 : ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt. UAV : unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank.,ich höre,5
159,UGV-2,TL : schickst du mir noch mal ein aktuelles Foto euren Standortes? UGV-2 : ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt. UAV : unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank.,ja ich habe nochmal ein Foto gezeigt,2
160,UGV-2,UGV-2 : ja ich schick dir gleich ein Bild von UGV 1 wenn er an mir vorbei fährt. UAV : ich hab dir ein Bild von der Wärmebild-Kamera geschickt. UAV : unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank.,UGV 1 ist gerade an uns vorbei gefahren,2
161,UGV-2,UAV : ich hab dir ein Bild von der Wärmebild-Kamera geschickt. UAV : unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank. UGV-2 : ja ich habe nochmal ein Foto gezeigt.,sollen wir versuchen uns anzuschließen?,3
162,UGV-2,UAV : ich hab dir ein Bild von der Wärmebild-Kamera geschickt. UAV : unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank. UGV-2 : ja ich habe nochmal ein Foto gezeigt.,abz- anzuschließen,6
163,TL,UAV : ich hab dir ein Bild von der Wärmebild-Kamera geschickt. UAV : unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank. UGV-2 : ja ich habe nochmal ein Foto gezeigt.,ja macht ihr mal,7
164,UAV,UAV : unterhalb des Tankes ist Fleck der auffällig ist und recht oben am Tank. UGV-2 : UGV 1 ist gerade an uns vorbei gefahren. UGV-2 : sollen wir versuchen uns anzuschließen?,Einsatzleiter von UAV,4
165,TL,UGV-2 : ja ich habe nochmal ein Foto gezeigt. UGV-2 : UGV 1 ist gerade an uns vorbei gefahren. UGV-2 : sollen wir versuchen uns anzuschließen?,höre,5
166,UAV,UGV-2 : ja ich habe nochmal ein Foto gezeigt. UGV-2 : UGV 1 ist gerade an uns vorbei gefahren. UGV-2 : sollen wir versuchen uns anzuschließen?,wir müssen gleich nochmal den Akku tauschen,2
167,UAV,UGV-2 : ja ich habe nochmal ein Foto gezeigt. UGV-2 : UGV 1 ist gerade an uns vorbei gefahren. UAV : wir müssen gleich nochmal den Akku tauschen.,hast du danach noch einen Auftrag für uns?,3
168,TL,UGV-2 : ja ich habe nochmal ein Foto gezeigt. UAV : wir müssen gleich nochmal den Akku tauschen. UAV : hast du danach noch einen Auftrag für uns?,ja landet erst mal ihr kriegt einen neuen Auftrag,7
169,UAV,UGV-2 : ja ich habe nochmal ein Foto gezeigt. UAV : wir müssen gleich nochmal den Akku tauschen. UAV : hast du danach noch einen Auftrag für uns?,ja ist verstanden,2
170,TL,UGV-2 : UGV 1 ist gerade an uns vorbei gefahren. UGV-2 : sollen wir versuchen uns anzuschließen? UAV : wir müssen gleich nochmal den Akku tauschen.,UGV 2 von Einsatzleiter,4
171,UGV-2,UGV-2 : sollen wir versuchen uns anzuschließen? UAV : wir müssen gleich nochmal den Akku tauschen. UAV : hast du danach noch einen Auftrag für uns?,UGV 2 hört,5
172,TL,UAV : wir müssen gleich nochmal den Akku tauschen. UAV : hast du danach noch einen Auftrag für uns? TL : ja landet erst mal ihr kriegt einen neuen Auftrag.,du sprachst eben von einer anderen Ebene habt ihr die schon erreicht?,3
173,UGV-2,UAV : wir müssen gleich nochmal den Akku tauschen. TL : ja landet erst mal ihr kriegt einen neuen Auftrag. TL : du sprachst eben von einer anderen Ebene habt ihr die schon erreicht?,wir haben aktuell immer noch Probleme mit der Steuerung,0
174,UGV-1,UAV : wir müssen gleich nochmal den Akku tauschen. UAV : hast du danach noch einen Auftrag für uns? TL : ja landet erst mal ihr kriegt einen neuen Auftrag.,UGV 1 erreicht gerade die erste Ebene,7
175,TL,UAV : wir müssen gleich nochmal den Akku tauschen. UAV : hast du danach noch einen Auftrag für uns? TL : ja landet erst mal ihr kriegt einen neuen Auftrag.,das ist verstanden,2
176,TL,UAV : wir müssen gleich nochmal den Akku tauschen. UAV : hast du danach noch einen Auftrag für uns? TL : ja landet erst mal ihr kriegt einen neuen Auftrag.,schickst du mir dann auch von da mal ein Foto?,1
177,UGV-1,UAV : hast du danach noch einen Auftrag für uns? UGV-2 : wir haben aktuell immer noch Probleme mit der Steuerung. TL : schickst du mir dann auch von da mal ein Foto?,ja das ist verstanden,7
178,UAV,TL : ja landet erst mal ihr kriegt einen neuen Auftrag. UGV-1 : UGV 1 erreicht gerade die erste Ebene. TL : schickst du mir dann auch von da mal ein Foto?,Einsatzleiter von UAV,4
179,TL,TL : du sprachst eben von einer anderen Ebene habt ihr die schon erreicht? UGV-2 : wir haben aktuell immer noch Probleme mit der Steuerung. TL : schickst du mir dann auch von da mal ein Foto?,ich höre,5
180,UAV,TL : du sprachst eben von einer anderen Ebene habt ihr die schon erreicht? UGV-2 : wir haben aktuell immer noch Probleme mit der Steuerung. TL : schickst du mir dann auch von da mal ein Foto?,wir wären wieder startklar wenn du was neues für uns hast?,2
181,TL,TL : du sprachst eben von einer anderen Ebene habt ihr die schon erreicht? UGV-2 : wir haben aktuell immer noch Probleme mit der Steuerung. UAV : wir wären wieder startklar wenn du was neues für uns hast?,ja ich melde mich gleich bei euch,2
182,UGV-1,TL : du sprachst eben von einer anderen Ebene habt ihr die schon erreicht? UGV-2 : wir haben aktuell immer noch Probleme mit der Steuerung. UAV : wir wären wieder startklar wenn du was neues für uns hast?,Einsatzleiter von UGV 1,4
183,TL,UGV-2 : wir haben aktuell immer noch Probleme mit der Steuerung. UGV-1 : UGV 1 erreicht gerade die erste Ebene. UAV : wir wären wieder startklar wenn du was neues für uns hast?,ich höre,5
184,UGV-1,UGV-1 : UGV 1 erreicht gerade die erste Ebene. TL : schickst du mir dann auch von da mal ein Foto? UAV : wir wären wieder startklar wenn du was neues für uns hast?,Foto ist erstellt und geteilt,2
185,UGV-1,TL : schickst du mir dann auch von da mal ein Foto? UAV : wir wären wieder startklar wenn du was neues für uns hast?,man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost,2
186,TL,TL : schickst du mir dann auch von da mal ein Foto? UAV : wir wären wieder startklar wenn du was neues für uns hast? UGV-1 : man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost.,könnt ihr mir Näheres zu dem Behälter geben?,3
187,UGV-1,UAV : wir wären wieder startklar wenn du was neues für uns hast? UGV-1 : man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost. TL : könnt ihr mir Näheres zu dem Behälter geben?,ich fahr mal näher ran und erkunde,2
188,TL,UAV : wir wären wieder startklar wenn du was neues für uns hast? UGV-1 : man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost. TL : könnt ihr mir Näheres zu dem Behälter geben?,ja verstanden,2
189,TL,UAV : wir wären wieder startklar wenn du was neues für uns hast? UGV-1 : man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost. TL : könnt ihr mir Näheres zu dem Behälter geben?,UGV 1 von Einsatzleiter,4
190,UGV-1,UAV : wir wären wieder startklar wenn du was neues für uns hast? UGV-1 : man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost. TL : könnt ihr mir Näheres zu dem Behälter geben?,UGV 1 hört,5
191,TL,UGV-1 : man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost. TL : könnt ihr mir Näheres zu dem Behälter geben? UGV-1 : ich fahr mal näher ran und erkunde.,das Bild mit dem Behälter war in östlicher Richtung war's korrekt?,3
192,UGV-1,UGV-1 : man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost. TL : könnt ihr mir Näheres zu dem Behälter geben? UGV-1 : ich fahr mal näher ran und erkunde.,das ist korrekt,7
193,UGV-1,UGV-1 : man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost. TL : könnt ihr mir Näheres zu dem Behälter geben? UGV-1 : ich fahr mal näher ran und erkunde.,ich schicke dir auch gleich nochmal ein Bild mit der Thermal-Kamera,2
194,TL,UGV-1 : man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost. TL : könnt ihr mir Näheres zu dem Behälter geben? UGV-1 : ich fahr mal näher ran und erkunde.,ja verstanden,7
195,UAV,UGV-1 : man sieht die Rauchentwicklung und einen Behälter das ist Blickrichtung Ost. TL : könnt ihr mir Näheres zu dem Behälter geben? UGV-1 : ich fahr mal näher ran und erkunde.,Einsatzleiter von UAV,4
