id,speakers,tokens,tags
2069,UGV-1,kannst du mir nochmal ein bisschen näher beschreiben wo die Rauchentwicklung ist?,3
2070,UAV,ich hab' gerade Schwierigkeiten,2
2071,UAV,weil ich seh' dich auf dem anderen Bild gerade nicht,2
2072,UAV,du kannst aber in die Bilderbox gucken da müsstest du eigentlich das Bild aus Sichtweise der Drohne sehen,2
2073,UGV-1,Teamleader von UGV 1,4
2074,TL,Teamleader hört,5
2075,UGV-1,ja ich komme nicht weiter höher ins Obergeschoss ohne dass ich eine Absperrung durchfahre,2
2076,TL,ja fahren Sie wieder zurück ins Untergeschoss,1
2077,TL,UGV Drohne von Teamleader kommen,4
2078,UAV,UAV hört,5
2079,TL,noch ein Bild schicken und das aber mit einem Schwarz-Weiß-Hintergrund,1
2080,UAV,machen wir dir fertig,7
2081,UGV-1,Teamleader von UGV 1,4
2082,UGV-1,hast du mittlerweile den blauen Kanister gesehen,3
2083,UGV-1,weil ich komm da gerade nochmal vorbei,2
2084,UGV-1,könnt ich ein neues Foto machen,2
2085,TL,ja schick ich jetzt den Angriff dorthin zum Lesen,2
2086,TL,aber wenn du direkt vorbeikommst dann mach nur ein näheres Foto als Nachweis,7
2087,UAV,Teamleader von UAV,4
2088,UAV,wir haben ein neues Live-Bild neue Rauchentwicklung in dem hinteren Bereich,2
2089,TL,ja verstanden,2
2090,TL,schicken Sie mir das Foto?,1
2091,UAV,schon da,7
2092,TL,UAV Drohne,4
2093,UAV,UAV hört,5
2094,UAV,aber ich hab nochmal ein Bild hinterher geschickt,2
2095,UAV,die Rauchentwicklung die verringert sich zwischenzeitlich immer wieder,2
2096,UAV,es ist aber auch sehr schwierig  genaue Bilder zu erkennen,2
2097,UAV,aufgrund des Windes weil die Drohne noch sehr stark hin und her schwankt,2
2098,TL,ja verstanden,2
2099,UAV,Teamleader von der UAV Drohne,4
2100,TL,hört,5
2101,UGV-1,wir machen jetzt erst mal noch eine Zwischenlandung für einen Akkuwechsel,2
2102,TL,ja verstanden,2
2103,TL,UAV 1 von Teamleader kommen,4
2104,UAV,UAV hört,5
2105,TL,hattest du von dem blauen Kanister noch ein Foto gemacht?,3
2106,UGV-1,ich bin gerade dabei,2
2107,TL,verstanden,2
2108,TL,Teamleader an alle,4
2109,TL,Übung beendet,2
2110,TL,alle bitte hier zum Treffpunkt ans Zelt kommen,1
2111,TL,Der Radio Check,2
2112,TL,UGV-1 für Einsatzleiter,4
2113,UGV-1,Ja ich kann dich hören,5
2114,TL,UGV-2,4
2115,UGV-2,UGV-2 hört dich auch,5
2116,TL,Wenn ihr gleich vorgeht bitte meldet mir die üblichen Gefahren an der Einsatzstelle Feuer Opfer,1
2117,TL,Macht bitte Fotos von Positionen die euch blöd vorkommen oder interessant vorkommen,1
2118,TL,UGV-1 für Einsatzleiter,4
2119,TL,Bitte mach mir mal ein Foto von deinem Standort kommen,1
2120,TL,Ich seh euch gleich am Eingang der Halle,2
2121,UGV-1,Okay ja,7
2122,UGV-1,Ich hab dir jetzt ein Foto von meinem Blickfeld geschickt,2
2123,UGV-1,Es befindet sich schon mal links ein Gefahrgutfass Ölfass,2
2124,UGV-1,Dort auch senden?,3
2125,TL,Also sieht so aus als hätte gerade ich gar keine Connection zur Database,2
2126,TL,Also beschreibe mir einfach wo du stehst,3
2127,UGV-1,Ich bestehe an einem Gang am Anfang der Halle Eingang,2
2128,UGV-1,Blickrichtung kann ich dir jetzt nicht sagen,2
2129,UGV-1,Rechts von mir sehe ich den Ölfass,2
2130,UGV-1,Ich denke also ich denke das ist ein Ölfass ich weiß nicht genau was drin ist übliches Rundfass,2
2131,UGV-1,Ich würde jetzt einfach geradeaus fahren und schauen was ich so weiter finde,2
2132,UGV-1,Kommen,4
2133,TL,Verstanden,7
2134,TL,Einsatzauftrag du fährst den langen Gang entlang ich gehe mal davon aus dass es am südlichen Wand der Halle ist und bleibst bitte auf der Ebene,1
2135,TL,Wenn du hoch oder runterfährst sagst mir bitte vorher Bescheid,1
2136,TL,Kommen,4
2137,UGV-2,UGV-2 hört dich,5
2138,TL,Frage kannst du den anderen Roboter sehen?,3
2139,UGV-2,Ich seh einen Roboter aber das wird aufgrund der Beschreibung nicht der Roboter sein,0
2140,TL,Verstanden,2
2141,TL,Okay,2
2142,TL,Einsatzauftrag für dich du fährst weiter in die Halle rein und suchst nach dem Zugang mit dem du dich weiter nach Osten entwickeln kannst,1
2143,TL,Kommen,4
2144,UGV-2,Ja das ist so verstanden Ich fahr weiter Richtung Norden in die Halle rein und suche mir einen Zugang in Richtung Osten,7
2145,TL,Okay,2
2146,TL,Einsatzleitung für beide Roboter,4
2147,TL,Ich habe jetzt wieder Connection zur Datenbank,2
2148,TL,Ihr könnt also Fotos schicken,2
2149,TL,ich sehe auch eure Position live,2
2150,UGV-1,Ja Teamleader von UGV-1 kommen,4
2151,TL,Höre,5
2152,UGV-1,Kannst du denn mein Foto empfangen das ich gerade geteilt habe?,3
2153,TL,Hey ja,7
2154,TL,Ich sehe dass die Fotos geadded wurden ich seh sie noch nicht auf der Karte,2
2155,TL,Geh einfach weiter vor wir versuchen das Problem hier zu lösen,1
2156,UGV-1,Teamleader von UT-1 kommen,4
2157,TL,Höre,5
2158,UGV-1,Ja ich gehe jetzt rechter Hand,2
2159,TL,UGV-2 für Einsatzleiter kommen,4
2160,UGV-2,UGV-2,5
2161,TL,Kannst du mir mal ein Foto von deiner Position machen?,1
2162,UGV-2,Ja ich mach dir mal ein Snapshot,7
2163,UGV-2,Ist das bei dir angekommen?,3
2164,TL,Ja,7
2165,TL,das braucht mal paar Sekunden,2
2166,UGV-1,Ja Teamleader von UGV-1 kommen,4
2167,TL,Höre,5
2168,UGV-1,Ja ich werd jetzt rechts abbiegen,2
2169,UGV-1,Rechtseitig ein blaues Fass mit ner undefinierten Aufschrift gefunden,2
2170,UGV-1,Hab dir ein Foto gemacht geteilt,2
2171,UGV-1,kommen,4
2172,TL,Ja,5
2173,TL,verstanden,2
2174,TL,UGV-1,4
2175,TL,Kannst du mal abschätzen wie weit du bis jetzt gefahren bist?,3
2176,TL,Deine Position auf meiner Karte hat sich kaum geändert,2
2177,UGV-1,Ja ich denke so 5-6 meter weiter bin ich noch nicht gekommen kommen,2
2178,TL,Verstanden,2
2179,TL,UGV-2 für Einsatzleiter,4
2180,UGV-2,UGV-2,5
2181,TL,Hat das mit dem Foto geklappt?,3
2182,TL,Bei mir ist nichts angekommen,2
2183,UGV-2,Also bei mir sind zwei Fotos auf der Karte hinterlegt,7
2184,UGV-2,Die müssten auch ungefähr von meiner Position gekommen sein,2
2185,TL,UGV-2 ich krieg deine Daten immer noch nicht,2
2186,TL,Kannst du mir mal grob deine Position auf der Karte durchgeben?,1
2187,TL,Ja okay verstanden,2
2188,UGV-1,I lost the connection to the TDF,2
2189,UGV-1,Teamleader von UGV-1 kommen,4
2190,TL,Höre,5
2191,UGV-1,Ja mein TDS muss neu gestartet werden,2
2192,TL,Ja verstanden,2
2193,TL,Gib mir Bescheid wenn du weiterfährst,1
2194,UGV-2,Teamleader von UGV-2,4
2195,TL,Teamleader,5
2196,UGV-2,Ja also ich hab gerade jetzt hier ein blaues Fass gefunden,2
2197,TL,Ja verstanden,2
2198,TL,Wie ist der Zustand des Fasses?,3
2199,UGV-2,Steht senkrecht und sieht auf dem ersten Blick heil aus keine Lache oder so was drumherum,2
2200,TL,Ja verstanden,2
2201,TL,Dann Foto machen,1
2202,TL,Und dann weiter vorgehen,1
2203,UGV-1,Teamleader von UGV-1 kommen,4
2204,TL,Höre,5
2205,UGV-1,Ja ich kann hier weiterfahren,2
2206,TL,Ja verstanden,2
2207,TL,Gib mir bitte nochmal ein Foto von deiner Fahrtrichtung,1
2208,UGV-1,Teamleader von UGV-1 kommen,4
2209,TL,UGV-1 UGV-2 und UAV kommen,4
2210,UAV,UAV hört,5
2211,UGV-1,UGV-1 hört,5
2212,UGV-2,UGV-2,5
2213,UAV,UAV,5
2214,TL,So weiteren Einsatzauftrag erhalten folgende Lage grundsätlich die Lage die selbe wie heute morgen Explosion in diesem länglichen Gebäude unklare Ausdehnung,2
2215,TL,Jetzt neuer Bericht von Gasgeruch in der Mitte des Gebäudes,2
2216,TL,Unsereines Auftrag Gasquelle lokalisieren,1
2217,TL,Und weiter mappen,1
2218,TL,UAV von Einsatzleiter,4
2219,UAV,UAV hört,5
2220,TL,Dein Standort ist Position ECO richtig?,3
2221,UAV,Mein Standard ist im Moment Position ECO,7
2222,UAV,Aber du wirst keine Updates kriegen,2
2223,TL,Ja soweit verstanden,2
2224,TL,Einsatzauftrag bitte aufsteigen Übersichtsfoto machen wenn möglich aus allen vier Himmelsrichtungen,1
2225,TL,kommen,4
2226,UAV,Verstanden,7
2227,TL,UGV-1 für Einsatzleiter,4
2228,TL,Du machst mir jetzt ein Foto dann gucken wir,1
2229,TL,Verstanden?,3
2230,UGV-1,Ja verstanden,7
2231,TL,UGV-2 für Einsatzleiter mitgehört?,3
2232,UGV-2,UGV-2 mitgehört,7
2233,UGV-2,kriegst auch ein Foto,2
2234,UGV-1,Teamleader von UGV-1 kommen,4
2235,TL,Höre,5
2236,UGV-1,Ja soll ich mal losfahren dem Tango hinterher quasi?,3
2237,TL,Wer fährt denn da schon?,3
2238,UGV-2,UGV-2 hat sich nur ein meter fortbewegt,2
2239,TL,Okay,2
2240,TL,Also ich seh euch beide ihr steht beide am Eingang des Ganges hintereinander,2
2241,TL,Und jetzt fahrt ihr beide hintereinander her zum Punkt ASA 325 - 352 danke,1
2242,UGV-2,UGV-2 verstanden,7
2243,TL,UGV-1 für Einsatzleiter,4
2244,UGV-2,Hier UGV-2,4
2245,UGV-2,UGV-1 kriegt da noch eine Einweisung,2
2246,UGV-2,Teamleiter von UGV-2,4
2247,UGV-2,Du müsstest ein Bild gekriegt haben ASA 352 müsste rechts von mir von meiner Position auf dem Bild sein,2
2248,TL,Ja verstanden,2
2249,TL,Nimm doch mal bitte einen Rundblick,1
2250,TL,Wenn du da nichts entdeckst weiter Richtung Osten,1
2251,UGV-2,Ja ist verstanden,7
2252,UGV-2,Teamleiter von UGV-2,4
2253,TL,Höre,5
2254,UGV-2,Gucke dir mal das Bild an was gerade gekommen ist das ist rechts von meiner Position,2
2255,UGV-2,Ergeht irgendwie so eine Plattform mit so einer Metallbox auf Palette,2
2256,TL,Ja ich gucke,7
2257,TL,UGV-2 von Einsatzleiter,4
2258,TL,Guck dir das mal genauer an bitte wenn du da hochkommst,1
2259,UGV-2,Ja das ist verstanden,7
2260,UGV-2,Ich versuch das mal,7
